Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,218.0,5.418e-06,0.0050916745763986
0.0015,248.6,7.548e-06,0.0070933849580392
0.002,276.3,9.454e-06,0.0088845868300613
0.0025,301.7,1.118e-05,0.0105066300782828
0.003,325.3,1.278e-05,0.0120102622898439
0.004,368.1,1.566e-05,0.0147168002706537
0.005,406.7,1.825e-05,0.0171508049131182
0.006,442.0,2.06e-05,0.0193592647238485
0.007,474.8,2.278e-05,0.0214079636121004
0.008,505.5,2.482e-05,0.0233250946818408
0.009,534.4,2.675e-05,0.0251388510370363
0.01,562.0,2.857e-05,0.026849232677687
0.0125,616.2,3.281e-05,0.0308338580383238
0.015,663.6,3.672e-05,0.0345083592553261
0.0175,705.7,4.037e-05,0.0379385202379498
0.02,743.3,4.382e-05,0.0411807271941283
0.0225,777.3,4.71e-05,0.0442631732278284
0.025,808.0,5.026e-05,0.0472328468456615
0.0275,835.7,5.33e-05,0.0500897480476275
0.03,860.8,5.625e-05,0.0528620699376932
0.035,904.0,6.191e-05,0.0581811688860904
0.04,939.0,6.733e-05,0.0632747230027535
0.045,966.9,7.258e-05,0.0682085161969382
0.05,988.7,7.769e-05,0.0730107415726113
0.055,1005.0,8.27e-05,0.0777189899350618
0.06,1017.0,8.764e-05,0.0823614543882566
0.065,1025.0,9.254e-05,0.0869663280361623
0.07,1029.0,9.741e-05,0.0915430085801013
0.075,1030.0,0.0001023,0.0961384845266847
0.08,1029.0,0.0001071,0.1006493811613679
0.085,1025.0,0.000112,0.1052542548092736
0.09,1019.0,0.0001169,0.1098591284571793
0.095,1012.0,0.0001218,0.1144640021050851
0.1,1004.0,0.0001268,0.1191628527662133
0.125,949.1,0.0001523,0.1431269911379676
0.15,886.7,0.0001796,0.1687827157477281
0.175,825.9,0.0002088,0.1962240036087173
0.2,770.6,0.0002402,0.225732785760603
0.225,721.7,0.0002737,0.2572150851901625
0.25,678.9,0.0003094,0.2907648789106185
0.275,641.7,0.0003473,0.3263821669219708
0.3,609.2,0.0003873,0.3639729722109971
0.35,553.8,0.0004735,0.4449811576088489
0.4,508.4,0.0005678,0.5336014810777284
0.45,470.9,0.0006701,0.6297399656044131
0.5,439.5,0.0007801,0.7331146801492355
0.55,412.7,0.0008976,0.8435376706857504
0.6,389.4,0.001022,0.960445075134622
0.65,369.0,0.001154,1.084494732588409
0.7,350.8,0.001293,1.2151227809677754
0.75,334.6,0.001439,1.3523292202727213
0.8,320.0,0.001592,1.496114050503247
0.85,306.9,0.001752,1.6464772716593523
0.9,294.9,0.001918,1.802479113608812
0.95,283.9,0.002091,1.9650593464838504
1.0,273.7,0.00227,2.1332782001522426
1.25,233.4,0.003263,3.0664699414523207
1.5,204.5,0.00441,4.14438628311515
1.75,182.6,0.005706,5.362328374479603
2.0,165.3,0.007147,6.716537135016775
2.25,151.4,0.00873,8.204193254329992
2.5,139.8,0.01045,9.820597881758122
2.75,130.0,0.01231,11.568570327697843
3.0,121.7,0.01429,13.429315189504647
3.5,108.0,0.01867,17.545508368653028
4.0,97.38,0.02355,22.13158661391424
4.5,88.8,0.02893,27.18754992528828
5.0,81.74,0.03481,32.71339830277514
5.5,75.8,0.04116,38.68093864240807
6.0,70.74,0.048,45.108966346831565
6.5,66.37,0.0553,51.96928831207887
7.0,62.55,0.06306,59.26190453814998
7.5,59.18,0.07128,66.98681502504488
8.0,56.19,0.07996,75.14401977276358
8.5,53.51,0.08908,83.71472337866159
9.0,51.1,0.09864,92.69892584273887
9.5,48.91,0.1086,102.05903635970644
10.0,46.92,0.1191,111.92662274807584
12.5,39.14,0.1777,166.99715249649935
15.0,33.73,0.2467,231.8412916200697
17.5,29.74,0.3258,306.17710907911925
20.0,26.67,0.4147,389.72267383398025
25.0,22.22,0.6211,583.6912291253559
27.5,20.56,0.7382,693.7383116089804
30.0,19.15,0.8642,812.1493482694133
35.0,16.9,1.143,1074.1572611339268
40.0,15.17,1.456,1368.3053125205574
45.0,13.8,1.802,1693.4657782706352
50.0,12.68,2.18,2048.698888251934
55.0,11.76,2.59,2434.0046424644534
60.0,10.98,3.03,2847.5035006437424
65.0,10.31,3.501,3290.135232922027
70.0,9.727,4.0,3759.080528902631
75.0,9.221,4.529,4256.218928850003
80.0,8.774,5.085,4778.731122367469
85.0,8.376,5.668,5326.617109455027
90.0,8.02,6.278,5899.876890112679
95.0,7.699,6.915,6498.510464340423
100.0,7.409,7.577,7120.638291873808
125.0,6.29,11.26,10581.811688860906
150.0,5.528,15.51,14575.83475081995
175.0,4.976,20.29,19067.93598285859
200.0,4.558,25.54,24001.729177043297
225.0,4.23,31.24,29358.418930729546
250.0,3.966,37.35,35100.414438628315
275.0,3.749,43.84,41199.52259677283
300.0,3.568,50.68,47627.55030119633
350.0,3.284,65.31,61376.3873356577
400.0,3.072,81.08,76196.56232085632
450.0,2.908,97.83,91937.71203563608
500.0,2.778,115.4,108449.4732588409
550.0,2.673,133.8,125741.243691793
600.0,2.587,152.8,143596.8762040805
650.0,2.515,172.4,162016.37079570338
700.0,2.455,192.6,180999.7274666617
750.0,2.404,213.2,200358.9921905102
800.0,2.36,234.2,220094.164967249
850.0,2.322,255.5,240111.2687836556
900.0,2.29,277.2,260504.2806529523
950.0,2.261,299.2,281179.22356191673
1000.0,2.237,321.4,302042.1204973264
1500.0,2.105,553.2,519880.8371472338
2000.0,2.068,793.3,745519.6458946142
2500.0,2.065,1036.0,973601.8569857812
3000.0,2.075,1277.0,1200086.458852165
4000.0,2.109,1755.0,1649296.5820560292
5000.0,2.149,2225.0,2090988.544202088
6000.0,2.188,2686.0,2524222.5751581164
7000.0,2.224,3139.0,2949938.44505634
8000.0,2.258,3586.0,3370015.6941612083
9000.0,2.289,4025.0,3782574.782208272
10000.0,2.318,4459.0,4190435.019594208
