Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,214.1,5.466e-06,0.0029929693146724
0.0015,243.5,7.639e-06,0.0041828197209628
0.002,270.2,9.587e-06,0.0052494688656722
0.0025,294.7,1.136e-05,0.0062202948069299
0.003,317.5,1.299e-05,0.0071128195019383
0.004,359.1,1.595e-05,0.0087336005431806
0.005,396.5,1.859e-05,0.0101791620123967
0.006,430.8,2.101e-05,0.0115042600258448
0.007,462.6,2.325e-05,0.0127307970300282
0.008,492.5,2.534e-05,0.0138751998598243
0.009,520.6,2.732e-05,0.0149593709617364
0.01,547.4,2.919e-05,0.0159833103357645
0.0125,600.1,3.354e-05,0.0183652013929956
0.015,645.8,3.756e-05,0.0205663972665746
0.0175,686.5,4.131e-05,0.0226197516262566
0.02,722.9,4.485e-05,0.0245581181417964
0.0225,755.6,4.824e-05,0.0264143504829489
0.025,785.2,5.148e-05,0.0281884486497141
0.0275,812.0,5.461e-05,0.0299023150885953
0.03,836.3,5.764e-05,0.0315614254112184
0.035,878.3,6.347e-05,0.0347537069890706
0.04,912.5,6.905e-05,0.0378090982762774
0.045,940.2,7.445e-05,0.0407659285542195
0.05,962.2,7.97e-05,0.0436406246577742
0.055,979.2,8.485e-05,0.0464605646450708
0.06,992.0,8.992e-05,0.0492366997393608
0.065,1001.0,9.494e-05,0.0519854567755218
0.07,1007.0,9.992e-05,0.0547123113651794
0.075,1010.0,0.0001049,0.0574391659548371
0.08,1010.0,0.0001098,0.0601222156514882
0.085,1008.0,0.0001148,0.0628600214643975
0.09,1005.0,0.0001197,0.0655430711610486
0.095,999.7,0.0001247,0.0682808769739579
0.1,993.3,0.0001298,0.0710734389031254
0.125,948.2,0.0001555,0.0851457607814793
0.15,893.0,0.0001826,0.0999846682874477
0.175,837.0,0.0002115,0.1158091858860634
0.2,784.3,0.0002424,0.1327288258098429
0.225,736.5,0.0002753,0.1507435880587861
0.25,693.9,0.0003103,0.1699082287491513
0.275,656.1,0.0003474,0.1902227478809383
0.3,622.6,0.0003865,0.211632389337889
0.35,564.1,0.000471,0.2579013075760562
0.4,515.8,0.0005638,0.3087149834636529
0.45,476.2,0.0006648,0.3640186608844208
0.5,443.8,0.0007736,0.4235933153733272
0.55,416.6,0.00089,0.4873294346978557
0.6,392.9,0.001014,0.5552270188580064
0.65,372.2,0.001144,0.6264099699936483
0.7,353.9,0.001282,0.701973410429945
0.75,337.5,0.001427,0.7813697790043148
0.8,322.8,0.001578,0.8640515145541757
0.85,309.5,0.001737,0.9511137394046916
0.9,297.4,0.001902,1.0414613312306984
0.95,286.2,0.002073,1.1350942900321968
1.0,276.0,0.002251,1.2325601769717678
1.25,235.3,0.003236,1.7719079221149003
1.5,206.1,0.004374,2.395032525133057
1.75,184.0,0.00566,3.09919618021333
2.0,166.6,0.00709,3.88220864270539
2.25,152.5,0.00866,4.74187966795891
2.5,140.8,0.01037,5.678209255973893
2.75,131.0,0.01221,6.685721795124516
3.0,122.5,0.01418,7.76441728541078
3.5,108.8,0.01852,10.140832731016053
4.0,98.04,0.02337,12.796504369538075
4.5,89.4,0.02872,15.72595658935103
5.0,82.27,0.03456,18.923713778829097
5.5,76.29,0.04087,22.37882471472064
6.0,71.19,0.04766,26.096765008651467
6.5,66.78,0.05492,30.07205904899577
7.0,62.93,0.06263,34.29375561250192
7.5,59.53,0.07081,38.77280592242153
8.0,56.52,0.07943,43.49278314387717
8.5,53.83,0.0885,48.45916288849464
9.0,51.4,0.09801,53.66646954464814
9.5,49.19,0.108,59.13660555884092
10.0,47.19,0.1183,64.77648553343408
12.5,39.36,0.1766,96.69930131195656
15.0,33.91,0.2453,134.31675318133034
17.5,29.9,0.3239,177.3550605602646
20.0,26.8,0.4124,225.8142234487592
25.0,22.33,0.6178,338.2832862430733
27.5,20.66,0.7343,402.07416168386
30.0,19.25,0.8597,470.7383314716254
35.0,16.98,1.137,622.5770418555753
40.0,15.24,1.448,792.8685634185338
45.0,13.86,1.793,981.7771645092756
50.0,12.74,2.169,1187.660161640055
55.0,11.81,2.577,1411.065115973454
60.0,11.02,3.016,1651.444466346891
65.0,10.35,3.484,1907.7030904352016
70.0,9.769,3.982,2180.3885494009683
75.0,9.26,4.508,2468.405720919027
80.0,8.811,5.062,2771.7546049893776
85.0,8.411,5.643,3089.887640449438
90.0,8.054,6.25,3422.2572661366275
95.0,7.732,6.884,3769.411043213527
100.0,7.44,7.543,4130.253849354973
125.0,6.315,11.21,6138.160632542656
150.0,5.55,15.44,8454.344350263924
175.0,4.996,20.2,11060.73548415358
200.0,4.575,25.44,13929.955976082529
225.0,4.246,31.12,17040.103379547498
250.0,3.981,37.2,20369.275248045207
275.0,3.763,43.67,23911.995969949843
300.0,3.582,50.48,27640.88748713231
350.0,3.296,65.06,35624.32923757584
400.0,3.083,80.76,44221.03949011105
450.0,2.918,97.45,53359.8352936023
500.0,2.788,115.0,62969.533696913946
550.0,2.682,133.3,72989.902972162
600.0,2.596,152.2,83338.80894495915
650.0,2.524,171.8,94071.00773156362
700.0,2.463,191.9,105076.98709945902
750.0,2.412,212.4,116301.99093238715
800.0,2.368,233.3,127746.01923034804
850.0,2.33,254.6,139409.07199334164
900.0,2.297,276.2,151236.39310510983
950.0,2.269,298.1,163227.9825656526
1000.0,2.244,320.3,175383.84037496988
1500.0,2.112,551.3,301870.4689313796
2000.0,2.075,790.6,432901.8551372189
2500.0,2.071,1032.0,565083.11978448
3000.0,2.081,1273.0,697045.3599667082
4000.0,2.116,1750.0,958232.0345182556
5000.0,2.155,2218.0,1214490.6586065665
6000.0,2.194,2678.0,1466368.7933942222
7000.0,2.231,3130.0,1713866.438881223
8000.0,2.264,3575.0,1957531.156230151
9000.0,2.296,4013.0,2197362.9454410058
10000.0,2.325,4446.0,2434456.9288389515
