Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,67.08,2.42e-05,5.377777777777778e-06
0.0015,80.38,3.094e-05,6.875555555555555e-06
0.002,91.57,3.676e-05,8.168888888888888e-06
0.0025,101.4,4.194e-05,9.32e-06
0.003,110.3,4.666e-05,1.0368888888888888e-05
0.004,126.2,5.511e-05,1.2246666666666666e-05
0.005,140.2,6.262e-05,1.3915555555555554e-05
0.006,152.9,6.944e-05,1.543111111111111e-05
0.007,164.6,7.574e-05,1.683111111111111e-05
0.008,175.5,8.162e-05,1.8137777777777777e-05
0.009,185.8,8.715e-05,1.936666666666667e-05
0.01,195.5,9.24e-05,2.053333333333333e-05
0.0125,215.0,0.0001046,2.3244444444444443e-05
0.015,232.0,0.0001158,2.5733333333333333e-05
0.0175,247.3,0.0001262,2.8044444444444444e-05
0.02,261.1,0.000136,3.022222222222222e-05
0.0225,273.7,0.0001454,3.231111111111111e-05
0.025,285.3,0.0001543,3.4288888888888894e-05
0.0275,295.9,0.0001629,3.62e-05
0.03,305.7,0.0001712,3.804444444444444e-05
0.035,323.0,0.0001871,4.1577777777777776e-05
0.04,337.8,0.0002022,4.493333333333333e-05
0.045,350.3,0.0002168,4.817777777777778e-05
0.05,360.9,0.0002308,5.128888888888889e-05
0.055,369.8,0.0002445,5.433333333333333e-05
0.06,377.0,0.0002579,5.731111111111111e-05
0.065,382.9,0.000271,6.022222222222222e-05
0.07,387.5,0.000284,6.311111111111112e-05
0.075,391.0,0.0002969,6.597777777777778e-05
0.08,393.5,0.0003096,6.879999999999999e-05
0.085,395.1,0.0003223,7.162222222222222e-05
0.09,395.9,0.0003349,7.442222222222222e-05
0.095,396.0,0.0003475,7.722222222222222e-05
0.1,395.5,0.0003602,8.004444444444444e-05
0.125,386.0,0.000424,9.422222222222224e-05
0.15,369.8,0.0004901,0.0001089111111111
0.175,351.4,0.0005595,0.0001243333333333
0.2,333.0,0.0006325,0.0001405555555555
0.225,315.8,0.0007096,0.0001576888888888
0.25,300.0,0.0007909,0.0001757555555555
0.275,285.8,0.0008763,0.0001947333333333
0.3,273.1,0.0009658,0.0002146222222222
0.35,251.6,0.001157,0.0002571111111111
0.4,234.2,0.001363,0.0003028888888888
0.45,219.8,0.001584,0.000352
0.5,207.8,0.001818,0.000404
0.55,197.6,0.002065,0.0004588888888888
0.6,188.8,0.002324,0.0005164444444444
0.65,181.1,0.002594,0.0005764444444444
0.7,174.3,0.002876,0.0006391111111111
0.75,168.0,0.003168,0.000704
0.8,162.4,0.003471,0.0007713333333333
0.85,157.2,0.003784,0.0008408888888888
0.9,152.3,0.004107,0.0009126666666666
0.95,147.8,0.00444,0.0009866666666666
1.0,143.7,0.004783,0.0010628888888888
1.25,126.1,0.006645,0.0014766666666666
1.5,112.5,0.008747,0.0019437777777777
1.75,101.8,0.01109,0.0024644444444444
2.0,93.13,0.01366,0.0030355555555555
2.25,86.1,0.01645,0.0036555555555555
2.5,80.18,0.01946,0.0043244444444444
2.75,75.15,0.02269,0.0050422222222222
3.0,70.8,0.02612,0.0058044444444444
3.5,63.63,0.03358,0.0074622222222222
4.0,57.94,0.04182,0.0092933333333333
4.5,53.3,0.05083,0.0112955555555555
5.0,49.43,0.06058,0.0134622222222222
5.5,46.15,0.07105,0.0157888888888888
6.0,43.33,0.08224,0.0182755555555555
6.5,40.87,0.09413,0.0209177777777777
7.0,38.7,0.1067,0.0237111111111111
7.5,36.79,0.12,0.0266666666666666
8.0,35.07,0.1339,0.0297555555555555
8.5,33.52,0.1485,0.033
9.0,32.13,0.1637,0.0363777777777777
9.5,30.85,0.1796,0.0399111111111111
10.0,29.69,0.1961,0.0435777777777777
12.5,25.08,0.2881,0.0640222222222222
15.0,21.83,0.3953,0.0878444444444444
17.5,19.4,0.517,0.1148888888888888
20.0,17.5,0.6529,0.1450888888888889
25.0,14.73,0.9656,0.2145777777777777
27.5,13.69,1.142,0.2537777777777777
30.0,12.8,1.331,0.2957777777777777
35.0,11.36,1.746,0.388
40.0,10.25,2.211,0.4913333333333333
45.0,9.359,2.722,0.6048888888888889
50.0,8.632,3.279,0.7286666666666667
55.0,8.026,3.88,0.8622222222222222
60.0,7.513,4.524,1.0053333333333334
65.0,7.072,5.211,1.158
70.0,6.688,5.938,1.3195555555555556
75.0,6.352,6.706,1.4902222222222223
80.0,6.054,7.512,1.6693333333333331
85.0,5.789,8.357,1.857111111111111
90.0,5.551,9.239,2.053111111111112
95.0,5.336,10.16,2.2577777777777777
100.0,5.141,11.11,2.468888888888889
125.0,4.387,16.4,3.644444444444444
150.0,3.87,22.49,4.997777777777777
175.0,3.494,29.3,6.511111111111111
200.0,3.207,36.78,8.173333333333334
225.0,2.982,44.87,9.97111111111111
250.0,2.801,53.53,11.895555555555555
275.0,2.651,62.71,13.935555555555556
300.0,2.526,72.38,16.084444444444443
350.0,2.33,93.03,20.67333333333333
400.0,2.182,115.2,25.6
450.0,2.068,138.8,30.84444444444445
500.0,1.978,163.5,36.333333333333336
550.0,1.905,189.3,42.06666666666667
600.0,1.845,216.0,48.0
650.0,1.795,243.5,54.11111111111112
700.0,1.753,271.7,60.37777777777777
750.0,1.717,300.5,66.77777777777777
800.0,1.687,329.9,73.3111111111111
850.0,1.66,359.8,79.95555555555556
900.0,1.638,390.1,86.6888888888889
950.0,1.618,420.8,93.51111111111112
1000.0,1.6,451.9,100.42222222222222
1500.0,1.508,775.6,172.35555555555555
2000.0,1.481,1111.0,246.88888888888889
2500.0,1.477,1449.0,322.0
3000.0,1.482,1787.0,397.1111111111111
4000.0,1.502,2458.0,546.2222222222222
5000.0,1.525,3119.0,693.1111111111111
6000.0,1.549,3769.0,837.5555555555555
7000.0,1.57,4411.0,980.2222222222222
8000.0,1.59,5043.0,1120.6666666666667
9000.0,1.609,5668.0,1259.5555555555557
10000.0,1.626,6287.0,1397.111111111111
