Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,234.4,5.179e-06,5.980369515011548e-06
0.0015,269.0,7.154e-06,8.260969976905312e-06
0.002,300.0,8.913e-06,1.0292147806004616e-05
0.0025,328.3,1.05e-05,1.2124711316397227e-05
0.003,354.4,1.197e-05,1.382217090069284e-05
0.004,395.9,1.463e-05,1.689376443418014e-05
0.005,433.9,1.704e-05,1.967667436489608e-05
0.006,468.7,1.926e-05,2.2240184757505773e-05
0.007,500.7,2.132e-05,2.46189376443418e-05
0.008,529.5,2.326e-05,2.6859122401847577e-05
0.009,555.7,2.511e-05,2.8995381062355657e-05
0.01,580.2,2.687e-05,3.102771362586605e-05
0.0125,630.2,3.099e-05,3.5785219399538105e-05
0.015,672.2,3.483e-05,4.021939953810624e-05
0.0175,708.6,3.845e-05,4.439953810623557e-05
0.02,741.0,4.19e-05,4.838337182448037e-05
0.0225,769.6,4.521e-05,5.220554272517321e-05
0.025,794.8,4.84e-05,5.588914549653579e-05
0.0275,817.0,5.15e-05,5.946882217090069e-05
0.03,836.7,5.453e-05,6.29676674364896e-05
0.035,871.4,6.038e-05,6.97228637413395e-05
0.04,901.3,6.602e-05,7.623556581986143e-05
0.045,926.3,7.149e-05,8.255196304849883e-05
0.05,946.1,7.683e-05,8.871824480369515e-05
0.055,960.9,8.207e-05,9.476905311778292e-05
0.06,971.4,8.724e-05,0.000100739030023
0.065,978.3,9.237e-05,0.0001066628175519
0.07,982.1,9.747e-05,0.0001125519630484
0.075,983.4,0.0001026,0.0001184757505773
0.08,982.3,0.0001076,0.0001242494226327
0.085,979.3,0.0001127,0.0001301385681293
0.09,974.7,0.0001179,0.0001361431870669
0.095,968.6,0.000123,0.0001420323325635
0.1,961.4,0.0001282,0.0001480369515011
0.125,913.5,0.0001548,0.000178752886836
0.15,857.3,0.0001831,0.0002114318706697
0.175,801.1,0.0002132,0.0002461893764434
0.2,748.7,0.0002455,0.0002834872979214
0.225,701.4,0.00028,0.0003233256351039
0.25,659.3,0.0003168,0.0003658198614318
0.275,622.0,0.0003559,0.0004109699769053
0.3,589.1,0.0003972,0.0004586605080831
0.35,535.6,0.0004864,0.0005616628175519
0.4,493.3,0.0005837,0.0006740184757505
0.45,458.2,0.000689,0.0007956120092378
0.5,428.2,0.000802,0.0009260969976905
0.55,402.2,0.0009225,0.0010652424942263
0.6,379.5,0.001051,0.0012136258660508
0.65,359.7,0.001186,0.0013695150115473
0.7,342.2,0.001329,0.0015346420323325
0.75,326.6,0.001478,0.0017066974595842
0.8,312.5,0.001635,0.0018879907621247
0.85,299.8,0.001798,0.0020762124711316
0.9,288.2,0.001968,0.0022725173210161
0.95,277.5,0.002145,0.0024769053117782
1.0,267.7,0.002329,0.002689376443418
1.25,228.6,0.003343,0.0038602771362586
1.5,200.6,0.004513,0.0052113163972286
