Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,15.96,0.0001088,5.651948051948052e-06
0.0015,19.35,0.000137,7.116883116883116e-06
0.002,22.19,0.000161,8.363636363636365e-06
0.0025,24.68,0.0001824,9.475324675324674e-06
0.003,26.93,0.0002018,1.0483116883116885e-05
0.004,30.92,0.0002363,1.2275324675324674e-05
0.005,34.43,0.0002669,1.3864935064935064e-05
0.006,37.6,0.0002947,1.530909090909091e-05
0.007,40.52,0.0003203,1.6638961038961037e-05
0.008,43.23,0.0003442,1.788051948051948e-05
0.009,45.78,0.0003666,1.9044155844155844e-05
0.01,48.19,0.0003879,2.015064935064935e-05
0.0125,53.1,0.0004372,2.271168831168832e-05
0.015,57.46,0.0004825,2.5064935064935067e-05
0.0175,61.4,0.0005245,2.7246753246753247e-05
0.02,65.02,0.0005641,2.9303896103896104e-05
0.0225,68.36,0.0006016,3.125194805194805e-05
0.025,71.48,0.0006373,3.310649350649351e-05
0.0275,74.39,0.0006716,3.4888311688311685e-05
0.03,77.13,0.0007046,3.66025974025974e-05
0.035,82.16,0.0007673,3.985974025974026e-05
0.04,86.67,0.0008266,4.294025974025974e-05
0.045,90.73,0.0008829,4.586493506493507e-05
0.05,94.41,0.0009369,4.867012987012987e-05
0.055,97.74,0.000989,5.137662337662338e-05
0.06,100.8,0.001039,5.397402597402597e-05
0.065,103.5,0.001088,5.651948051948052e-05
0.07,106.0,0.001136,5.901298701298702e-05
0.075,108.2,0.001183,6.145454545454546e-05
0.08,110.2,0.001228,6.379220779220779e-05
0.085,112.0,0.001273,6.612987012987014e-05
0.09,113.6,0.001318,6.846753246753246e-05
0.095,115.0,0.001362,7.075324675324675e-05
0.1,116.3,0.001405,7.298701298701299e-05
0.125,120.3,0.001616,8.394805194805196e-05
0.15,121.4,0.001822,9.464935064935066e-05
0.175,120.7,0.002028,0.0001053506493506
0.2,118.7,0.002237,0.0001162077922077
0.225,116.1,0.00245,0.0001272727272727
0.25,113.1,0.002668,0.0001385974025974
0.275,110.0,0.002892,0.0001502337662337
0.3,106.9,0.003123,0.0001622337662337
0.35,100.3,0.003606,0.0001873246753246
0.4,94.26,0.00412,0.0002140259740259
0.45,89.19,0.004666,0.0002423896103896
0.5,85.1,0.00524,0.0002722077922077
0.55,81.78,0.00584,0.0003033766233766
0.6,78.87,0.006463,0.0003357402597402
0.65,76.29,0.007107,0.0003691948051948
0.7,73.96,0.007773,0.0004037922077922
0.75,71.86,0.008459,0.0004394285714285
0.8,69.93,0.009165,0.0004761038961038
0.85,68.16,0.009889,0.0005137142857142
0.9,66.52,0.01063,0.0005522077922077
0.95,64.99,0.01139,0.0005916883116883
1.0,63.56,0.01217,0.0006322077922077
1.25,57.58,0.01631,0.0008472727272727
1.5,52.94,0.02084,0.0010825974025974
1.75,49.19,0.02575,0.0013376623376623
2.0,46.07,0.031,0.0016103896103896
2.25,43.42,0.0366,0.0019012987012987
2.5,41.12,0.04252,0.0022088311688311
2.75,39.11,0.04875,0.0025324675324675
3.0,37.33,0.0553,0.0028727272727272
3.5,34.31,0.06928,0.003598961038961
4.0,31.83,0.08443,0.004385974025974
4.5,29.75,0.1007,0.0052311688311688
5.0,27.97,0.118,0.0061298701298701
5.5,26.43,0.1364,0.0070857142857142
6.0,25.08,0.1559,0.0080987012987013
6.5,23.88,0.1763,0.0091584415584415
7.0,22.81,0.1977,0.0102701298701298
7.5,21.85,0.2201,0.0114337662337662
8.0,20.98,0.2435,0.0126493506493506
8.5,20.19,0.2678,0.0139116883116883
9.0,19.47,0.293,0.0152207792207792
9.5,18.8,0.3192,0.0165818181818181
10.0,18.18,0.3462,0.0179844155844155
12.5,15.7,0.4947,0.0256987012987012
15.0,13.89,0.6643,0.0345090909090909
17.5,12.5,0.8544,0.0443844155844155
20.0,11.4,1.064,0.0552727272727272
25.0,9.755,1.54,0.08
27.5,9.125,1.805,0.0937662337662337
30.0,8.585,2.088,0.1084675324675324
35.0,7.704,2.704,0.1404675324675324
40.0,7.015,3.385,0.1758441558441558
45.0,6.458,4.129,0.2144935064935064
50.0,5.997,4.933,0.2562597402597402
55.0,5.609,5.796,0.3010909090909091
60.0,5.276,6.715,0.3488311688311688
65.0,4.989,7.69,0.3994805194805195
70.0,4.737,8.719,0.4529350649350649
75.0,4.514,9.801,0.5091428571428571
80.0,4.316,10.93,0.5677922077922077
