Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,19.05,9.29e-05,4.863874345549738e-06
0.0015,23.2,0.0001164,6.094240837696335e-06
0.002,26.69,0.0001365,7.146596858638744e-06
0.0025,29.76,0.0001542,8.073298429319372e-06
0.003,32.53,0.0001702,8.910994764397904e-06
0.004,37.45,0.0001988,1.0408376963350786e-05
0.005,41.77,0.0002241,1.1732984293193716e-05
0.006,45.68,0.0002469,1.2926701570680627e-05
0.007,49.28,0.000268,1.4031413612565443e-05
0.008,52.62,0.0002876,1.5057591623036648e-05
0.009,55.76,0.0003061,1.6026178010471203e-05
0.01,58.73,0.0003235,1.693717277486911e-05
0.0125,64.79,0.000364,1.9057591623036647e-05
0.015,70.14,0.000401,2.099476439790576e-05
0.0175,74.99,0.0004355,2.2801047120418848e-05
0.02,79.42,0.0004679,2.449738219895288e-05
0.0225,83.52,0.0004985,2.6099476439790576e-05
0.025,87.33,0.0005278,2.763350785340314e-05
0.0275,90.89,0.0005559,2.9104712041884816e-05
0.03,94.23,0.0005829,3.051832460732984e-05
0.035,100.3,0.0006342,3.320418848167539e-05
0.04,105.8,0.0006827,3.57434554973822e-05
0.045,110.7,0.0007289,3.816230366492146e-05
0.05,115.1,0.0007732,4.048167539267016e-05
0.055,119.1,0.0008158,4.271204188481675e-05
0.06,122.7,0.0008572,4.4879581151832456e-05
0.065,126.0,0.0008974,4.698429319371727e-05
0.07,128.9,0.0009366,4.903664921465968e-05
0.075,131.5,0.000975,5.104712041884816e-05
0.08,133.8,0.001013,5.303664921465968e-05
0.085,135.9,0.00105,5.497382198952879e-05
0.09,137.7,0.001086,5.685863874345549e-05
0.095,139.3,0.001122,5.874345549738219e-05
0.1,140.6,0.001158,6.0628272251308896e-05
0.125,144.6,0.001333,6.979057591623036e-05
0.15,145.0,0.001505,7.87958115183246e-05
0.175,142.9,0.001679,8.790575916230365e-05
0.2,139.3,0.001856,9.717277486910994e-05
0.225,134.7,0.002038,0.0001067015706806
0.25,129.7,0.002227,0.0001165968586387
0.275,124.3,0.002424,0.0001269109947643
0.3,118.9,0.00263,0.0001376963350785
0.35,108.8,0.00307,0.0001607329842931
0.4,100.1,0.003549,0.0001858115183246
0.45,92.88,0.004068,0.0002129842931937
0.5,86.81,0.004625,0.0002421465968586
0.55,81.72,0.005219,0.0002732460732984
0.6,77.43,0.005848,0.0003061780104712
0.65,73.79,0.00651,0.000340837696335
0.7,70.67,0.007203,0.0003771204188481
0.75,67.99,0.007925,0.0004149214659685
0.8,65.65,0.008673,0.0004540837696335
0.85,63.62,0.009447,0.0004946073298429
0.9,61.83,0.01024,0.0005361256544502
0.95,60.24,0.01106,0.000579057591623
1.0,58.84,0.0119,0.0006230366492146
1.25,53.38,0.01638,0.0008575916230366
1.5,49.12,0.02126,0.0011130890052356
1.75,45.66,0.02655,0.0013900523560209
2.0,42.76,0.03221,0.0016863874345549
2.25,40.31,0.03824,0.0020020942408376
2.5,38.18,0.04461,0.0023356020942408
2.75,36.31,0.05133,0.0026874345549738
3.0,34.65,0.05838,0.0030565445026178
3.5,31.84,0.07345,0.0038455497382198
4.0,29.54,0.08977,0.0047
4.5,27.6,0.1073,0.0056178010471204
5.0,25.95,0.126,0.0065968586387434
5.5,24.52,0.1458,0.0076335078534031
6.0,23.27,0.1668,0.0087329842931937
6.5,22.16,0.1888,0.0098848167539267
7.0,21.17,0.2119,0.0110942408376963
7.5,20.28,0.236,0.0123560209424083
8.0,19.48,0.2612,0.013675392670157
8.5,18.75,0.2873,0.0150418848167539
9.0,18.08,0.3145,0.0164659685863874
9.5,17.47,0.3426,0.0179371727748691
10.0,16.9,0.3718,0.0194659685863874
12.5,14.61,0.5314,0.0278219895287958
15.0,12.94,0.7136,0.0373612565445026
17.5,11.66,0.9175,0.0480366492146596
20.0,10.65,1.142,0.0597905759162303
25.0,9.124,1.651,0.0864397905759162
27.5,8.535,1.935,0.1013089005235602
30.0,8.026,2.237,0.1171204188481675
35.0,7.191,2.896,0.1516230366492146
40.0,6.534,3.627,0.1898952879581151
45.0,6.003,4.426,0.2317277486910994
50.0,5.564,5.292,0.2770680628272251
55.0,5.195,6.223,0.3258115183246073
60.0,4.881,7.216,0.3778010471204188
65.0,4.61,8.271,0.4330366492146597
70.0,4.373,9.385,0.4913612565445026
75.0,4.165,10.56,0.5528795811518324
80.0,3.98,11.79,0.6172774869109947
85.0,3.815,13.07,0.6842931937172775
90.0,3.667,14.41,0.7544502617801047
95.0,3.533,15.8,0.8272251308900523
100.0,3.411,17.24,0.9026178010471204
125.0,2.937,25.17,1.317801047120419
150.0,2.608,34.23,1.7921465968586383
175.0,2.367,44.31,2.319895287958115
200.0,2.183,55.32,2.8963350785340314
225.0,2.037,67.19,3.517801047120418
250.0,1.919,79.85,4.180628272251308
275.0,1.822,93.23,4.881151832460733
300.0,1.74,107.3,5.617801047120419
350.0,1.612,137.2,7.183246073298428
400.0,1.516,169.2,8.858638743455495
450.0,1.441,203.1,10.63350785340314
500.0,1.382,238.5,12.486910994764395
550.0,1.334,275.4,14.418848167539265
600.0,1.295,313.4,16.408376963350783
650.0,1.263,352.5,18.45549738219896
700.0,1.236,392.5,20.54973821989529
750.0,1.213,433.4,22.69109947643979
800.0,1.194,474.9,24.863874345549736
850.0,1.177,517.1,27.07329842931937
900.0,1.163,559.9,29.314136125654446
950.0,1.15,603.1,31.57591623036649
1000.0,1.14,646.8,33.86387434554973
1500.0,1.087,1099.0,57.539267015706805
2000.0,1.077,1562.0,81.78010471204188
2500.0,1.082,2025.0,106.02094240837695
3000.0,1.092,2485.0,130.1047120418848
4000.0,1.117,3391.0,177.5392670157068
5000.0,1.143,4275.0,223.8219895287958
6000.0,1.167,5141.0,269.16230366492147
7000.0,1.189,5990.0,313.6125654450262
8000.0,1.208,6824.0,357.27748691099475
9000.0,1.226,7646.0,400.3141361256544
10000.0,1.242,8456.0,442.7225130890052
