Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,176.9,6.319e-06,6.319e-06
0.0015,198.4,8.969e-06,8.969e-06
0.002,218.4,1.137e-05,1.137e-05
0.0025,237.0,1.357e-05,1.357e-05
0.003,254.4,1.56e-05,1.56e-05
0.004,286.4,1.93e-05,1.93e-05
0.005,315.3,2.262e-05,2.262e-05
0.006,342.0,2.567e-05,2.567e-05
0.007,366.7,2.849e-05,2.849e-05
0.008,390.0,3.113e-05,3.113e-05
0.009,412.0,3.363e-05,3.363e-05
0.01,432.9,3.599e-05,3.599e-05
0.0125,474.5,4.15e-05,4.15e-05
0.015,511.0,4.657e-05,4.657e-05
0.0175,543.7,5.131e-05,5.131e-05
0.02,573.3,5.578e-05,5.578e-05
0.0225,600.1,6.005e-05,6.005e-05
0.025,624.5,6.413e-05,6.413e-05
0.0275,646.7,6.806e-05,6.806e-05
0.03,667.1,7.187e-05,7.187e-05
0.035,702.8,7.916e-05,7.916e-05
0.04,732.4,8.613e-05,8.613e-05
0.045,756.9,9.284e-05,9.284e-05
0.05,776.8,9.935e-05,9.935e-05
0.055,792.7,0.0001057,0.0001057
0.06,805.0,0.000112,0.000112
0.065,814.2,0.0001182,0.0001182
0.07,820.5,0.0001243,0.0001243
0.075,824.3,0.0001303,0.0001303
0.08,826.0,0.0001364,0.0001364
0.085,825.8,0.0001425,0.0001425
0.09,823.9,0.0001485,0.0001485
0.095,820.6,0.0001546,0.0001546
0.1,816.1,0.0001607,0.0001607
0.125,781.4,0.000192,0.000192
0.15,737.1,0.0002249,0.0002249
0.175,696.9,0.0002598,0.0002598
0.2,661.3,0.0002966,0.0002966
0.225,629.4,0.0003354,0.0003354
0.25,600.6,0.0003761,0.0003761
0.275,574.4,0.0004186,0.0004186
0.3,550.4,0.0004631,0.0004631
0.35,508.0,0.0005577,0.0005577
0.4,471.9,0.0006599,0.0006599
0.45,440.6,0.0007697,0.0007697
0.5,413.2,0.0008869,0.0008869
0.55,389.1,0.001012,0.001012
0.6,368.0,0.001144,0.001144
0.65,349.2,0.001283,0.001283
0.7,332.5,0.00143,0.00143
0.75,317.5,0.001584,0.001584
0.8,303.9,0.001745,0.001745
0.85,291.7,0.001913,0.001913
0.9,280.5,0.002088,0.002088
0.95,270.2,0.00227,0.00227
1.0,260.8,0.002458,0.002458
1.25,222.9,0.003499,0.003499
1.5,195.7,0.004698,0.004698
1.75,174.9,0.006052,0.006052
2.0,158.6,0.007555,0.007555
2.25,145.4,0.009203,0.009203
2.5,134.4,0.01099,0.01099
2.75,125.1,0.01292,0.01292
3.0,117.2,0.01499,0.01499
3.5,104.2,0.01952,0.01952
4.0,94.04,0.02458,0.02458
4.5,85.86,0.03015,0.03015
5.0,79.11,0.03623,0.03623
5.5,73.43,0.04279,0.04279
6.0,68.58,0.04984,0.04984
6.5,64.38,0.05737,0.05737
7.0,60.71,0.06537,0.06537
7.5,57.47,0.07384,0.07384
8.0,54.6,0.08277,0.08277
8.5,52.02,0.09215,0.09215
9.0,49.69,0.102,0.102
9.5,47.59,0.1123,0.1123
10.0,45.67,0.123,0.123
12.5,38.15,0.1832,0.1832
15.0,32.92,0.2539,0.2539
17.5,29.05,0.335,0.335
20.0,26.07,0.426,0.426
25.0,21.75,0.637,0.637
27.5,20.13,0.7566,0.7566
30.0,18.76,0.8853,0.8853
35.0,16.56,1.17,1.17
40.0,14.88,1.489,1.489
45.0,13.54,1.841,1.841
50.0,12.45,2.227,2.227
55.0,11.54,2.644,2.644
60.0,10.78,3.093,3.093
65.0,10.13,3.572,3.572
70.0,9.559,4.08,4.08
75.0,9.063,4.618,4.618
80.0,8.625,5.184,5.184
85.0,8.236,5.777,5.777
90.0,7.888,6.398,6.398
95.0,7.573,7.045,7.045
100.0,7.289,7.718,7.718
125.0,6.192,11.46,11.46
150.0,5.445,15.77,15.77
175.0,4.903,20.62,20.62
200.0,4.492,25.96,25.96
225.0,4.17,31.74,31.74
250.0,3.911,37.94,37.94
275.0,3.698,44.52,44.52
300.0,3.52,51.45,51.45
350.0,3.241,66.28,66.28
400.0,3.032,82.25,82.25
450.0,2.871,99.21,99.21
500.0,2.743,117.0,117.0
550.0,2.64,135.6,135.6
600.0,2.556,154.9,154.9
650.0,2.485,174.7,174.7
700.0,2.426,195.1,195.1
750.0,2.376,215.9,215.9
800.0,2.333,237.2,237.2
850.0,2.296,258.8,258.8
900.0,2.264,280.7,280.7
950.0,2.236,302.9,302.9
1000.0,2.211,325.4,325.4
1500.0,2.07,560.5,560.5
2000.0,2.021,805.4,805.4
2500.0,2.004,1054.0,1054.0
3000.0,2.001,1304.0,1304.0
4000.0,2.012,1802.0,1802.0
5000.0,2.031,2297.0,2297.0
6000.0,2.052,2787.0,2787.0
7000.0,2.072,3272.0,3272.0
8000.0,2.091,3752.0,3752.0
9000.0,2.109,4228.0,4228.0
10000.0,2.126,4700.0,4700.0
