Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,195.4,5.871e-06,0.0099508474576271
0.0015,221.1,8.258e-06,0.0139966101694915
0.002,244.6,1.041e-05,0.0176440677966101
0.0025,266.3,1.237e-05,0.0209661016949152
0.003,286.5,1.417e-05,0.0240169491525423
0.004,323.4,1.745e-05,0.0295762711864406
0.005,356.7,2.039e-05,0.0345593220338983
0.006,387.3,2.308e-05,0.0391186440677966
0.007,415.7,2.557e-05,0.0433389830508474
0.008,442.4,2.79e-05,0.0472881355932203
0.009,467.5,3.01e-05,0.0510169491525423
0.01,491.4,3.219e-05,0.0545593220338983
0.0125,539.0,3.703e-05,0.0627627118644067
0.015,580.6,4.15e-05,0.0703389830508474
0.0175,617.8,4.567e-05,0.0774067796610169
0.02,651.4,4.961e-05,0.0840847457627118
0.0225,681.8,5.336e-05,0.0904406779661016
0.025,709.4,5.695e-05,0.0965254237288135
0.0275,734.6,6.041e-05,0.1023898305084745
0.03,757.6,6.376e-05,0.1080677966101694
0.035,797.7,7.019e-05,0.1189661016949152
0.04,830.9,7.633e-05,0.1293728813559322
0.045,858.1,8.225e-05,0.1394067796610169
0.05,880.1,8.8e-05,0.1491525423728813
0.055,897.4,9.362e-05,0.1586779661016949
0.06,910.7,9.915e-05,0.1680508474576271
0.065,920.4,0.0001046,0.1772881355932203
0.07,926.9,0.00011,0.1864406779661017
0.075,930.6,0.0001154,0.195593220338983
0.08,931.8,0.0001208,0.2047457627118644
0.085,931.0,0.0001261,0.213728813559322
0.09,928.3,0.0001315,0.2228813559322033
0.095,924.0,0.0001369,0.2320338983050847
0.1,918.5,0.0001423,0.241186440677966
0.125,877.6,0.0001701,0.2883050847457626
0.15,827.0,0.0001995,0.338135593220339
0.175,776.3,0.0002307,0.3910169491525423
0.2,729.4,0.0002639,0.4472881355932203
0.225,687.6,0.0002992,0.5071186440677966
0.25,650.9,0.0003366,0.5705084745762712
0.275,618.7,0.000376,0.6372881355932203
0.3,590.5,0.0004174,0.707457627118644
0.35,536.6,0.0005062,0.8579661016949153
0.4,489.6,0.0006039,1.0235593220338983
0.45,451.3,0.0007104,1.2040677966101694
0.5,420.6,0.0008253,1.3988135593220337
0.55,395.9,0.0009479,1.6066101694915254
0.6,374.2,0.001078,1.8271186440677964
0.65,354.9,0.001215,2.059322033898305
0.7,337.8,0.00136,2.305084745762712
0.75,322.5,0.001511,2.5610169491525423
0.8,308.6,0.00167,2.830508474576271
0.85,296.1,0.001835,3.1101694915254234
0.9,284.6,0.002007,3.4016949152542373
0.95,274.2,0.002186,3.705084745762712
1.0,264.5,0.002372,4.020338983050848
1.25,225.9,0.003399,5.761016949152542
