Kinetic Energy MeV,Total Stp. Pow. MeV cm2/g,CSDA Range g/cm2,Thickness (cm)
0.001,39.71,4.404e-05,1.496940856560163e-05
0.0015,48.27,5.533e-05,1.8806934058463628e-05
0.002,55.47,6.497e-05,2.208361658735554e-05
0.0025,61.81,7.35e-05,2.498300475866757e-05
0.003,67.53,8.123e-05,2.7610469068660777e-05
0.004,77.68,9.5e-05,3.229095853161115e-05
0.005,86.62,0.0001072,3.6437797416723314e-05
0.006,94.7,0.0001182,4.017675050985724e-05
0.007,102.1,0.0001284,4.364377974167233e-05
0.008,109.0,0.0001378,4.683888511216858e-05
0.009,115.5,0.0001467,4.9864038069340576e-05
0.01,121.7,0.0001552,5.275322909585316e-05
0.0125,133.9,0.0001747,5.9381373215499656e-05
0.015,144.6,0.0001927,6.549966009517335e-05
0.0175,154.1,0.0002094,7.117607070020394e-05
0.02,162.7,0.0002252,7.654656696125085e-05
0.0225,170.5,0.0002402,8.164513936097893e-05
0.025,177.5,0.0002545,8.650577838205303e-05
0.0275,184.0,0.0002684,9.12304554724677e-05
0.03,189.9,0.0002817,9.575118966689327e-05
0.035,200.1,0.0003074,0.0001044867437117
0.04,208.7,0.0003318,0.0001127804214819
0.045,215.6,0.0003554,0.0001208021753908
0.05,221.3,0.0003782,0.0001285520054384
0.055,225.8,0.0004006,0.0001361658735554
0.06,229.2,0.0004226,0.0001436437797416
0.065,231.7,0.0004443,0.0001510197144799
0.07,233.4,0.0004658,0.0001583276682528
0.075,234.4,0.0004871,0.0001655676410605
0.08,234.7,0.0005085,0.0001728416043507
0.085,234.5,0.0005298,0.0001800815771583
0.09,233.9,0.0005511,0.000187321549966
0.095,232.9,0.0005725,0.0001945955132562
0.1,231.5,0.0005941,0.0002019374575118
0.125,221.6,0.0007043,0.0002393949694085
0.15,209.6,0.0008202,0.0002787899388171
0.175,197.6,0.0009431,0.0003205642420122
0.2,186.8,0.001073,0.0003647178789938
0.225,177.2,0.001211,0.0004116247450713
0.25,168.8,0.001355,0.0004605710401087
0.275,161.5,0.001507,0.0005122365737593
0.3,155.1,0.001665,0.0005659415363698
0.35,144.5,0.001999,0.0006794697484704
0.4,136.0,0.002356,0.0008008157715839
0.45,129.0,0.002734,0.0009292997960571
0.5,123.0,0.003131,0.0010642420122365
0.55,117.6,0.003547,0.0012056424201223
0.6,112.8,0.003981,0.0013531611148878
0.65,108.5,0.004433,0.0015067980965329
0.7,104.6,0.004903,0.0016665533650577
0.75,101.1,0.005389,0.0018317471108089
0.8,97.83,0.005892,0.0020027192386131
0.85,94.88,0.006411,0.0021791298436437
0.9,92.17,0.006946,0.0023609789259007
0.95,89.67,0.007496,0.0025479265805574
1.0,87.36,0.008061,0.0027399728076138
1.25,77.86,0.0111,0.0037729435757987
1.5,70.57,0.01448,0.0049218218898708
1.75,64.88,0.01818,0.0061794697484704
2.0,60.17,0.02218,0.0075390890550645
2.25,56.11,0.02649,0.0090040788579197
2.5,52.66,0.03109,0.010567641060503
2.75,49.74,0.03598,0.0122297756628144
3.0,47.2,0.04114,0.0139836845683208
3.5,42.94,0.05226,0.0177634262406526
4.0,39.5,0.06441,0.0218932698844323
4.5,36.67,0.07756,0.0263630183548606
5.0,34.27,0.09168,0.0311624745071379
5.5,32.21,0.1067,0.036267845003399
6.0,30.42,0.1227,0.0417063222297756
6.5,28.86,0.1396,0.0474507138001359
7.0,27.48,0.1574,0.0535010197144799
7.5,26.24,0.176,0.0598232494901427
8.0,25.12,0.1955,0.0664513936097892
8.5,24.1,0.2158,0.0733514615907545
9.0,23.17,0.237,0.0805574439157035
9.5,22.32,0.259,0.0880353501019714
10.0,21.54,0.2818,0.0957851801495581
12.5,18.43,0.4077,0.1385791978246091
15.0,16.2,0.5527,0.1878653976886471
17.5,14.5,0.7161,0.2434058463630183
20.0,13.17,0.8972,0.3049626104690686
25.0,11.19,1.311,0.4456152277362338
27.5,10.44,1.542,0.5241332426920462
30.0,9.79,1.79,0.6084296397008837
35.0,8.739,2.331,0.7923181509177429
40.0,7.919,2.933,0.9969408565601632
45.0,7.26,3.593,1.2212780421481984
50.0,6.718,4.31,1.4649898028552004
55.0,6.264,5.081,1.7270564242012236
60.0,5.878,5.906,2.0074779061862675
65.0,5.545,6.782,2.3052345343303875
70.0,5.255,7.709,2.620326308633582
75.0,4.999,8.685,2.952073419442556
80.0,4.773,9.709,3.300135961930659
85.0,4.571,10.78,3.6641740312712434
90.0,4.389,11.9,4.044867437117607
95.0,4.224,13.06,4.439157036029911
100.0,4.075,14.26,4.847042828008157
125.0,3.494,20.92,7.110808973487424
150.0,3.094,28.54,9.700883752549286
175.0,2.802,37.05,12.593473827328346
200.0,2.579,46.37,15.761386811692724
225.0,2.403,56.42,19.17743031951054
250.0,2.261,67.15,22.824609109449355
275.0,2.144,78.51,26.68592794017675
300.0,2.047,90.46,30.74779061862678
350.0,1.893,115.9,39.3949694085656
400.0,1.778,143.2,48.67437117607069
450.0,1.688,172.1,58.49762066621346
500.0,1.618,202.4,68.79673691366418
550.0,1.561,233.8,79.46974847042829
600.0,1.515,266.4,90.55064581917064
650.0,1.476,299.8,101.90346702923182
700.0,1.444,334.1,113.56220258327669
750.0,1.417,369.1,125.45887151597552
800.0,1.393,404.6,137.52549286199863
850.0,1.373,440.8,149.83004758667573
900.0,1.356,477.4,162.27056424201223
950.0,1.342,514.5,174.881033310673
1000.0,1.329,551.9,187.59347382732832
1500.0,1.266,939.6,319.3745751189667
2000.0,1.254,1337.0,454.45275322909583
2500.0,1.26,1735.0,589.7348742352141
3000.0,1.273,2130.0,723.9972807613867
4000.0,1.305,2906.0,987.7634262406524
5000.0,1.338,3662.0,1244.7314751869476
6000.0,1.369,4401.0,1495.9211420802174
7000.0,1.397,5124.0,1741.6723317471108
8000.0,1.423,5833.0,1982.6648538409245
9000.0,1.447,6530.0,2219.5785180149555
10000.0,1.469,7215.0,2452.4133242692046
